# cluster 0 centroid,0.22532,0.0848059
# index,x0,x1
113,0.216052,0.0866387
734,0.806282,0.101429
999,0.809495,0.136489
# cluster 111 centroid,0.818794,0.454901
# index,x0,x1
86,0.853455,0.44992
120,0.817091,0.390801
149,0.848471,0.449184
346,0.822884,0.415098
568,0.78821,0.465419
792,0.805041,0.468872
836,0.788844,0.466507
865,0.835942,0.487762
899,0.831177,0.477336
969,0.796824,0.47811
# cluster 112 centroid,0.947217,0.0387466
# index,x0,x1
19,0.921475,0.00252677
258,0.966446,0.0940206
280,0.951765,0.0659208
316,0.996327,0.0231389
328,0.929714,0.0137826
332,0.942275,0.0201391
474,0.957172,0.0636705
484,0.933834,0.0561202
516,0.925945,0.00940005
# cluster 113 centroid,0.652489,0.0906315
# index,x0,x1
118,0.624912,0.0948467
342,0.688342,0.0975314
442,0.630347,0.0881262
547,0.660684,0.0549104
643,0.676043,0.119421
767,0.618194,0.10827
904,0.673535,0.0718417
976,0.665469,0.0741906
990,0.634875,0.106546
# cluster 114 centroid,0.488278,0.25242
# index,x0,x1
194,0.490231,0.272789
297,0.482795,0.219001
678,0.480035,0.234602
710,0.514896,0.244144
718,0.481961,0.283231
818,0.48553,0.256379
922,0.482496,0.256791
# cluster 115 centroid,0.308739,0.493116
# index,x0,x1
158,0.331806,0.478743
942,0.285672,0.507488
# cluster 116 centroid,0.435941,0.498151
# index,x0,x1
166,0.442803,0.500433
202,0.47525,0.486265
221,0.454503,0.50837
323,0.434622,0.491237
513,0.439667,0.472168
622,0.436498,0.466818
720,0.419979,0.477152
778,0.414269,0.540936
923,0.426144,0.525716
991,0.415677,0.512416
# cluster 117 centroid,0.882641,0.620947
# index,x0,x1
49,0.895113,0.623466
51,0.918651,0.629234
67,0.890466,0.581961
111,0.923137,0.654164
458,0.885129,0.631781
616,0.910935,0.624731
653,0.89176,0.668986
683,0.837022,0.602827
702,0.889843,0.611125
714,0.844844,0.595698
833,0.845121,0.618698
920,0.877055,0.590919
971,0.865255,0.638717
# cluster 118 centroid,0.272513,0.0169786
# index,x0,x1
226,0.307667,0.00509101
320,0.250038,0.00203985
354,0.267231,0.0178365
703,0.254726,0.0367918
851,0.25778,0.0129582
988,0.297634,0.027154
# cluster 119 centroid,0.731748,0.053028
# index,x0,x1
132,0.683086,0.027185
144,0.760934,0.0797827
391,0.719134,0.035501
401,0.723862,0.0828538
408,0.776004,0.0517918
530,0.734478,0.0612523
585,0.740855,0.0900224
735,0.706784,0.021924
781,0.707025,0.0679388
886,0.736625,0.00960943
916,0.72828,0.0799918
951,0.763913,0.0284825
# cluster 120 centroid,0.159672,0.0558572
# index,x0,x1
117,0.161063,0.0389993
215,0.144557,0.0458219
252,0.180202,0.0574414
584,0.178402,0.0828446
660,0.134134,0.0541789
# cluster 121 centroid,0.280886,0.224452
# index,x0,x1
31,0.274293,0.232525
415,0.281881,0.235169
486,0.286454,0.222329
985,0.280916,0.207786
# cluster 122 centroid,0.0927994,0.0617664
# index,x0,x1
56,0.0796957,0.0602305
261,0.0997415,0.0363135
336,0.0902159,0.0947341
532,0.0802199,0.0628201
665,0.126769,0.0653246
766,0.0801543,0.0511753
# cluster 123 centroid,0.494119,0.428103
# index,x0,x1
198,0.503446,0.432611
245,0.503267,0.424066
322,0.542905,0.425105
431,0.50336,0.436599
595,0.457843,0.432139
760,0.468804,0.425477
784,0.479211,0.420725
# cluster 124 centroid,0.56336,0.280143
# index,x0,x1
11,0.596692,0.314837
75,0.534159,0.282499
109,0.587672,0.281106
125,0.544633,0.280556
186,0.579291,0.261214
304,0.529981,0.288195
395,0.587517,0.265595
717,0.55597,0.259043
856,0.554325,0.288248
# cluster 125 centroid,0.413398,0.42862
# index,x0,x1
3,0.392252,0.398956
42,0.429799,0.440064
48,0.415745,0.424874
476,0.390394,0.430259
794,0.438801,0.448947
# cluster 126 centroid,0.425782,0.204862
# index,x0,x1
5,0.403327,0.189357
143,0.446534,0.198376
161,0.391767,0.207323
229,0.432874,0.242165
372,0.432911,0.181255
411,0.444273,0.237128
454,0.436359,0.202189
562,0.429365,0.188666
635,0.414624,0.197299
# cluster 127 centroid,0.882906,0.279594
# index,x0,x1
416,0.893961,0.305945
488,0.876135,0.270951
646,0.85407,0.265538
948,0.90746,0.275943
